epoch,kl_loss,loss,xent_loss
0,0.00029510368873598053,0.02914967527786891,0.028854571638504665
1,8.405200392395879e-05,0.014193096704781055,0.014109044723212718
2,0.00012180287336232141,0.012429433724780878,0.012307630872229735
3,0.00014492013270501046,0.011180909829338392,0.011035989720125993
4,0.00016679936178649464,0.01013143872221311,0.009964639294644197
5,0.00018473936312366277,0.00926278482079506,0.009078045475979646
6,0.00018539523445845892,0.008578039180735747,0.00839264397919178
7,0.00018271202731411903,0.008075532581905524,0.007892820484191179
8,0.00017968645235523582,0.007677080504596233,0.007497393922507763
9,0.00017380139709760747,0.007318959188958009,0.007145157637447119
10,0.00017709575866659482,0.00706486169497172,0.006887765721231699
11,0.0001746060035424307,0.006793183178206285,0.0066185769403974215
12,0.00017233051577738177,0.006562952900181214,0.006390622156361739
13,0.00017302846969881406,0.006382547726978858,0.006209519085039695
14,0.00016689861925163618,0.006182283182938893,0.006015384417027235
15,0.0001691462283565973,0.006053370759636164,0.005884224360436201
16,0.0001667450735733534,0.0059150776316722236,0.005748332334309816
17,0.00016412203238966565,0.0057628057137131695,0.005598683448135853
18,0.00016613685375389952,0.005640388195465008,0.005474251149098079
19,0.00016363276121361803,0.005485059661666552,0.005321426675468683
20,0.00016217763490664462,0.005353357023000717,0.005191179146617651
21,0.00016221499637855837,0.005251650740702947,0.0050894354812800885
22,0.00015912883606894563,0.005134093753993511,0.004974964675307274
23,0.00015827801461176325,0.005035644705096881,0.004877366438756386
24,0.00015809451351718356,0.004967706843962272,0.004809612053136031
25,0.0001563306578124563,0.004855713088065386,0.0046993821650743485
26,0.00015633920497105767,0.004776640498886505,0.004620301004002491
27,0.00015181377437741806,0.004668369938681523,0.004516555883238713
28,0.00015282880580828835,0.004590454725672801,0.004437625637402137
29,0.00015617997284668187,0.00454812722330292,0.004391946948071321
30,0.00015393921189631025,0.004467540912826856,0.004313601420074701
31,0.00015166896206792444,0.004374562145769596,0.004222892884661754
32,0.00015098743995185942,0.004317021126051744,0.004166033379981915
33,0.00014997915755181264,0.004271938727299372,0.004121959266563256
34,0.0001499773308634758,0.0042069109283387664,0.004056933280080557
35,0.00014997480974222223,0.004148979423195124,0.003999004311611255
36,0.00014659628733837356,0.004098101088901361,0.003951504491517942
37,0.00015081096359839043,0.004072984480361144,0.003922173227121433
38,0.00014537542106894156,0.0039805404881636305,0.0038351647744576138
39,0.0001477198926343893,0.003974529354522626,0.0038268091718355814
